Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Mechanix,7/24/2021,IND 18 - 13 DET,34,16,0.87,0.5,0.55,0.32,0.13,0.13,0.62,18,13,0.419
Outlaws,7/24/2021,TOR 24 - 27 OTT,15,7,0.94,1.0,0.88,0.69,0.18,0.5,0.8,24,27,0.529
Rush,7/24/2021,TOR 24 - 27 OTT,19,7,0.92,0.62,0.75,0.64,0.12,0.3,0.84,24,27,0.471
Sol,7/24/2021,SD 21 - 17 AUS,24,10,0.93,0.5,0.52,0.41,0.26,0.42,0.61,21,17,0.447
Spiders,7/24/2021,LA 20 - 18 SJ,24,14,0.88,0.72,0.59,0.41,0.25,0.45,0.75,20,18,0.474
Union,7/24/2021,CHI 20 - 16 MIN,20,8,0.91,0.58,0.82,0.64,0.27,0.33,0.85,20,16,0.556
Wind Chill,7/24/2021,CHI 20 - 16 MIN,23,13,0.92,0.77,0.68,0.45,0.06,0.17,0.64,20,16,0.444
Outlaws,7/25/2021,OTT 26 - 19 MTL,19,15,0.93,0.85,1.0,0.68,0.19,0.33,0.88,26,19,0.578
Royal,7/25/2021,OTT 26 - 19 MTL,25,8,0.9,0.6,0.73,0.56,0.0,0.0,0.64,26,19,0.422
Flyers,7/30/2021,PIT 17 - 20 RAL,14,8,0.94,0.86,0.84,0.67,0.18,0.36,0.77,17,20,0.541
Radicals,7/30/2021,CHI 23 - 18 MAD,16,8,0.95,0.0,0.64,0.53,0.1,0.5,0.81,23,18,0.439
Thunderbirds,7/30/2021,PIT 17 - 20 RAL,17,7,0.94,0.5,0.73,0.55,0.05,0.17,0.77,17,20,0.459
Union,7/30/2021,CHI 23 - 18 MAD,10,7,0.96,0.86,0.85,0.77,0.24,0.55,0.89,23,18,0.561
AlleyCats,7/31/2021,IND 16 - 17 MIN,27,14,0.9,0.54,0.68,0.43,0.17,0.23,0.5,16,17,0.485
Breeze,7/31/2021,PHI 12 - 22 DC,10,13,0.97,0.56,1.0,0.78,0.35,0.53,0.75,12,22,0.647
Cannons,7/31/2021,NY 25 - 18 TB,19,4,0.93,0.64,0.56,0.48,0.16,0.43,0.88,25,18,0.419
Cascades,7/31/2021,SEA 20 - 21 SD,19,11,0.94,0.5,0.77,0.57,0.14,0.33,0.88,20,21,0.488
Empire,7/31/2021,NY 25 - 18 TB,12,11,0.96,0.8,0.79,0.65,0.37,0.67,0.84,25,18,0.581
Growlers,7/31/2021,SEA 20 - 21 SD,18,9,0.93,0.8,0.77,0.61,0.18,0.33,0.93,20,21,0.512
Hustle,7/31/2021,PIT 22 - 27 ATL,6,7,0.97,0.88,0.87,0.8,0.24,0.78,1.0,22,27,0.551
Mechanix,7/31/2021,MAD 23 - 15 DET,24,6,0.91,0.55,0.46,0.35,0.24,0.44,0.75,23,15,0.395
Phoenix,7/31/2021,PHI 12 - 22 DC,21,4,0.92,0.58,0.52,0.41,0.0,0.0,0.75,12,22,0.353
Radicals,7/31/2021,MAD 23 - 15 DET,17,14,0.93,0.77,0.71,0.55,0.46,0.58,0.75,23,15,0.605
Sol,7/31/2021,SJ 15 - 25 AUS,16,19,0.95,0.38,0.76,0.65,0.44,0.55,0.84,15,25,0.625
Spiders,7/31/2021,SJ 15 - 25 AUS,25,12,0.88,0.38,0.48,0.37,0.12,0.4,0.75,15,25,0.625
Thunderbirds,7/31/2021,PIT 22 - 27 ATL,13,5,0.96,0.64,0.69,0.65,0.09,0.5,0.88,22,27,0.449
Wind Chill,7/31/2021,IND 16 - 17 MIN,25,8,0.92,0.27,0.72,0.48,0.21,0.27,0.79,16,17,0.515
Aviators,8/1/2021,SEA 15 - 20 LA,26,17,0.9,0.64,0.59,0.37,0.5,0.48,0.84,15,20,0.571
Cascades,8/1/2021,SEA 15 - 20 LA,31,9,0.89,0.36,0.5,0.32,0.29,0.33,0.63,15,20,0.429
Legion,8/1/2021,SJ 14 - 15 DAL,22,12,0.92,0.5,0.44,0.3,0.47,0.53,0.67,14,15,0.517
Spiders,8/1/2021,SJ 14 - 15 DAL,23,13,0.89,0.6,0.53,0.38,0.31,0.38,0.64,14,15,0.517
Breeze,8/6/2021,DC 20 - 13 PHI,20,10,0.95,0.27,0.8,0.5,0.4,0.5,0.83,20,13,0.606
Flyers,8/6/2021,RAL 19 - 18 BOS,13,5,0.95,0.5,0.7,0.64,0.24,0.45,0.84,19,18,0.486
Glory,8/6/2021,RAL 19 - 18 BOS,14,6,0.95,0.25,0.67,0.54,0.2,0.67,0.94,19,18,0.486
Phoenix,8/6/2021,DC 20 - 13 PHI,26,11,0.86,0.42,0.56,0.36,0.2,0.25,0.89,20,13,0.394
Aviators,8/7/2021,LA 17 - 24 SD,23,7,0.93,0.62,0.65,0.52,0.0,0.0,0.5,17,24,0.415
Cannons,8/7/2021,TB 21 - 20 ATL,14,9,0.95,0.83,0.86,0.72,0.13,0.27,0.87,21,20,0.512
Cascades,8/7/2021,SJ 23 - 15 SEA,28,10,0.89,0.33,0.48,0.38,0.19,0.27,0.6,23,15,0.395
Empire,8/7/2021,RAL 23 - 24 NY,19,10,0.94,0.5,0.69,0.58,0.23,0.46,0.75,23,24,0.511
Flyers,8/7/2021,RAL 23 - 24 NY,19,8,0.94,0.58,0.73,0.58,0.15,0.44,0.67,23,24,0.511
Growlers,8/7/2021,LA 17 - 24 SD,16,16,0.93,1.0,0.89,0.65,0.27,0.5,0.86,17,24,0.585
Hustle,8/7/2021,TB 21 - 20 ATL,15,7,0.93,0.67,0.83,0.61,0.05,0.17,0.6,21,20,0.488
Legion,8/7/2021,DAL 23 - 22 AUS,19,10,0.92,0.59,0.7,0.53,0.28,0.54,0.79,23,22,0.511
Mechanix,8/7/2021,DET 16 - 20 CHI,25,11,0.91,0.6,0.59,0.38,0.17,0.33,0.75,16,20,0.444
Royal,8/7/2021,TOR 16 - 18 MTL,18,13,0.94,0.55,0.72,0.54,0.25,0.36,0.93,16,18,0.529
Rush,8/7/2021,TOR 16 - 18 MTL,21,11,0.9,0.5,0.65,0.46,0.17,0.3,0.79,16,18,0.471
Sol,8/7/2021,DAL 23 - 22 AUS,21,12,0.91,0.54,0.68,0.55,0.22,0.42,0.95,23,22,0.489
Spiders,8/7/2021,SJ 23 - 15 SEA,19,11,0.92,0.44,0.81,0.57,0.4,0.53,0.93,23,15,0.395
Union,8/7/2021,DET 16 - 20 CHI,23,13,0.91,0.58,0.82,0.58,0.27,0.32,0.6,16,20,0.556
Breeze,8/8/2021,DC 25 - 16 PIT,18,16,0.93,0.62,0.65,0.52,0.54,0.58,0.79,25,16,0.61
Outlaws,8/8/2021,MTL 22 - 18 OTT,26,9,0.87,1.0,0.63,0.41,0.15,0.3,0.79,22,18,0.45
Royal,8/8/2021,MTL 22 - 18 OTT,23,15,0.92,0.64,0.75,0.58,0.29,0.35,0.86,22,18,0.55
Thunderbirds,8/8/2021,DC 25 - 16 PIT,28,11,0.89,0.7,0.42,0.31,0.29,0.56,0.91,25,16,0.39
Outlaws,8/12/2021,OTT 16 - 18 MTL,21,10,0.89,0.8,0.58,0.46,0.28,0.36,0.79,16,18,0.471
