Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Sol,7/2/2021,SEA 16 - 23 AUS,93% (261/280),58% (7/12),56% (10/18),43% (10/23),48% (12/25),63% (12/19),84% (16/19),19,16,0.93,0.58,0.56,0.43,0.48,0.63,0.84,16,23,0.59
Union,7/2/2021,MAD 15 - 18 CHI,98% (294/301),80% (4/5),75% (12/16),67% (12/18),30% (6/20),60% (6/10),100% (14/14),7,7,0.98,0.80,0.75,0.67,0.30,0.60,1.00,15,18,0.545
AlleyCats,7/3/2021,MAD 26 - 22 IND,96% (338/353),64% (9/14),64% (18/28),56% (18/32),17% (4/23),80% (4/5),90% (9/10),15,6,0.96,0.64,0.64,0.56,0.17,0.80,0.90,26,22,0.458
Cannons,7/3/2021,RAL 29 - 15 TB,90% (259/287),38% (5/13),48% (15/31),38% (15/39),0% (0/17),0% (0/5),67% (6/9),28,8,0.90,0.38,0.48,0.38,0.00,0.00,0.67,29,15,0.341
Cascades,7/3/2021,SEA 16 - 24 DAL,89% (184/206),38% (3/8),54% (14/26),45% (14/31),11% (2/18),25% (2/8),71% (10/14),22,11,0.89,0.38,0.54,0.45,0.11,0.25,0.71,16,24,0.4
Flyers,7/3/2021,RAL 29 - 15 TB,95% (245/258),63% (10/16),88% (15/17),75% (15/20),45% (14/31),64% (14/22),87% (20/23),13,14,0.95,0.63,0.88,0.75,0.45,0.64,0.87,29,15,0.341
Legion,7/3/2021,SEA 16 - 24 DAL,95% (281/295),75% (9/12),83% (15/18),63% (15/24),35% (9/26),60% (9/15),68% (15/22),14,12,0.95,0.75,0.83,0.63,0.35,0.60,0.68,16,24,0.6
Phoenix,7/3/2021,PHI 20 - 23 PIT,95% (263/278),57% (8/14),68% (17/25),55% (17/31),14% (3/22),75% (3/4),87% (13/15),15,5,0.95,0.57,0.68,0.55,0.14,0.75,0.87,20,23,0.465
Radicals,7/3/2021,MAD 26 - 22 IND,96% (270/280),54% (7/13),74% (17/23),71% (17/24),32% (9/28),69% (9/13),90% (18/20),10,8,0.96,0.54,0.74,0.71,0.32,0.69,0.90,26,22,0.542
Thunderbirds,7/3/2021,PHI 20 - 23 PIT,96% (239/250),69% (9/13),73% (16/22),70% (16/23),28% (7/25),54% (7/13),80% (12/15),11,8,0.96,0.69,0.73,0.70,0.28,0.54,0.80,20,23,0.535
Empire,7/9/2021,PHI 20 - 27 NY,96% (272/282),100% (9/9),86% (18/21),72% (18/25),32% (9/28),75% (9/12),86% (19/22),10,11,0.96,1.00,0.86,0.72,0.32,0.75,0.86,20,27,0.574
Legion,7/9/2021,AUS 17 - 16 DAL,87% (202/231),57% (8/14),58% (11/19),39% (11/28),28% (5/18),29% (5/17),71% (12/17),29,9,0.87,0.57,0.58,0.39,0.28,0.29,0.71,17,16,0.485
Phoenix,7/9/2021,PHI 20 - 27 NY,94% (247/264),60% (6/10),64% (18/28),58% (18/31),10% (2/21),33% (2/6),80% (8/10),17,4,0.94,0.60,0.64,0.58,0.10,0.33,0.80,20,27,0.426
Sol,7/9/2021,AUS 17 - 16 DAL,89% (207/233),50% (5/10),61% (11/18),38% (11/29),32% (6/19),40% (6/15),62% (13/21),26,16,0.89,0.50,0.61,0.38,0.32,0.40,0.62,17,16,0.485
AlleyCats,7/10/2021,MIN 25 - 18 IND,94% (239/253),60% (6/10),65% (17/26),57% (17/30),5% (1/20),50% (1/2),86% (12/14),14,2,0.94,0.60,0.65,0.57,0.05,0.50,0.86,25,18,0.419
Breeze,7/10/2021,DC 19 - 14 ATL,96% (336/351),64% (7/11),56% (9/16),43% (9/21),48% (10/21),67% (10/15),79% (11/14),15,14,0.96,0.64,0.56,0.43,0.48,0.67,0.79,19,14,0.576
Cannons,7/10/2021,TB 19 - 31 RAL,90% (247/274),60% (9/15),52% (17/33),43% (17/40),10% (2/21),33% (2/6),82% (9/11),27,9,0.90,0.60,0.52,0.43,0.10,0.33,0.82,19,31,0.38
Flyers,7/10/2021,TB 19 - 31 RAL,94% (218/232),71% (10/14),90% (19/21),76% (19/25),36% (12/33),60% (12/20),90% (19/21),14,13,0.94,0.71,0.90,0.76,0.36,0.60,0.90,19,31,0.62
Glory,7/10/2021,PHI 23 - 22 BOS,93% (261/280),50% (4/8),64% (16/25),57% (16/28),25% (6/24),46% (6/13),70% (19/27),19,11,0.93,0.50,0.64,0.57,0.25,0.46,0.70,23,22,0.489
Hustle,7/10/2021,DC 19 - 14 ATL,91% (196/216),80% (4/5),52% (11/21),42% (11/26),19% (3/16),38% (3/8),64% (7/11),20,9,0.91,0.80,0.52,0.42,0.19,0.38,0.64,19,14,0.424
Legion,7/10/2021,AUS 20 - 21 DAL,88% (189/214),69% (11/16),68% (15/22),54% (15/28),25% (6/24),30% (6/20),73% (8/11),25,13,0.88,0.69,0.68,0.54,0.25,0.30,0.73,20,21,0.512
Phoenix,7/10/2021,PHI 23 - 22 BOS,94% (243/259),89% (8/9),67% (16/24),53% (16/30),28% (7/25),70% (7/10),83% (10/12),16,7,0.94,0.89,0.67,0.53,0.28,0.70,0.83,23,22,0.511
Radicals,7/10/2021,CHI 16 - 19 MAD,95% (332/348),67% (2/3),72% (13/18),54% (13/24),29% (6/21),50% (6/12),67% (16/24),16,6,0.95,0.67,0.72,0.54,0.29,0.50,0.67,16,19,0.543
